id,active,resourcetype,coding_code,coding_display,organization_id,practitioner_id,meta_lastupdated,_airbyte_emitted_at,rn
883a5b4b-a0e5-4b75-aea9-a97b41c961f7,true,PractitionerRole,,,,55793e91-ae21-4940-a842-00e1b32c5951,2025-08-15T12:08:20.204+00:00,2025-08-28 07:25:56.169+00,1
72eeab35-5c54-4898-ab4c-5c0611f0de0b,true,PractitionerRole,,,,558a2b35-db34-4d55-93a2-5d557588d2db,2024-10-29T08:33:22.797+00:00,2025-08-28 07:25:56.151+00,1
07cdfa04-3d77-4b12-b6a0-f2963a84eac4,true,PractitionerRole,,,,57ccdebb-dcf2-4cc4-8f48-082cc8b1cfcc,2024-07-10T12:25:27.543+00:00,2025-08-28 07:25:56.15+00,1
b7d4a9b4-ea20-4a0f-bcfa-af0af8ee4249,true,PractitionerRole,,,602ec278-054a-473e-a553-957bd5ac8c6f,5859d5f3-d37b-4a28-a68f-5ce1aaac611f,2024-11-22T09:18:13.341+00:00,2025-08-28 07:25:56.152+00,1
6238e9bf-df1a-471f-8f19-481c8a5c1f52,true,PractitionerRole,,,,586db0fa-134d-4066-810e-52e8958a425d,2025-08-15T12:02:35.985+00:00,2025-08-28 07:25:56.166+00,1
2885a547-025d-4442-9a96-2a5b0803b874,true,PractitionerRole,,,,5b73ab96-15d8-41b7-857f-2ee0dbdaa9ba,2025-09-05T12:20:18.684+00:00,2025-09-05 16:22:48.959+00,1
828d1828-7f3c-4fcd-94ec-a550f4aaa13a,true,PractitionerRole,,,,5f35325f-4c33-40fb-912a-739cf76be0ae,2025-08-15T11:53:42.586+00:00,2025-08-28 07:25:56.161+00,1
2c1993f1-d511-4b75-9afc-be3644b6af2d,true,PractitionerRole,,,,60926992-2db6-44e2-aee0-de4726a4a104,2025-08-15T12:00:36.440+00:00,2025-08-28 07:25:56.165+00,1
5e9ae18d-8cad-4670-afed-6f44300db2c8,true,PractitionerRole,,,526e3168-50d5-4c6e-bef1-eb4cad5b75d6,6bc10010-6fe7-4729-9ab5-4be822a6ca90,2024-11-25T13:16:16.107+00:00,2025-08-28 07:25:56.153+00,1
56760bbc-a976-43cc-85bf-affffb78c575,true,PractitionerRole,,,75cb925d-5f61-4e70-8e2c-02f6cf070755,7077cd6b-2413-4bb5-a51b-156bcce07587,2025-09-03T08:56:55.292+00:00,2025-09-03 16:05:16.6+00,1
7723d51c-6628-4bc0-87c3-bd8c910d3200,true,PractitionerRole,,,,7146b21a-154f-4107-baf4-eb997ae71409,2025-08-15T11:52:27.465+00:00,2025-08-28 07:25:56.16+00,1
61941ad9-f1fb-4d8a-99ba-826b4b85232c,true,PractitionerRole,,,,74d8b8ea-c9b3-4690-8bd5-2aa745d5a283,2025-08-15T11:48:15.274+00:00,2025-08-28 07:25:56.158+00,1
8fc17178-7d76-4d6a-b3ad-ff6c553be3b5,true,PractitionerRole,,,,77dcb3f9-0442-43ee-a367-4827bcb7da43,2025-08-15T11:51:31.584+00:00,2025-08-28 07:25:56.16+00,1
a0cf578b-6f85-46d5-b3f4-39f0e9393602,true,PractitionerRole,,,,7ea89035-db3b-43e5-af4d-41c948916816,2025-08-15T11:56:37.296+00:00,2025-08-28 07:25:56.163+00,1
550cf87f-dfdd-47d7-9d14-50468065efd8,true,PractitionerRole,,,,882c2a38-72c9-48c4-97ae-aab90b352ff9,2025-07-28T05:29:10.960+00:00,2025-08-28 07:25:56.153+00,1
507c36d1-2b34-4c65-b776-a9b1b3ed5863,true,PractitionerRole,,,,8849f373-2ce3-40c7-9175-2095e4139d5e,2025-08-15T12:04:49.809+00:00,2025-08-28 07:25:56.167+00,1
85d26424-6b1e-465e-94fb-e20b17d8b727,true,PractitionerRole,,,,88c7ab31-9ba4-4df7-973c-85e6520d4d09,2025-08-17T07:55:11.969+00:00,2025-08-28 07:25:56.174+00,1
